Nome_Musica,Artista,Genero,Ano,BPM,Energia,Dancabilidade,Valencia,Loudness,Streams,Taxa_Crescimento,Qtd_Playlists,Compartilhamentos,Taxa_Skip,Taxa_Replay,Popularidade
Gimme Gimme Gimme,ABBA,Rock,2008,148,0.88,0.24,0.36,-3.41,541959125,0.52,113,49852,0.71,0.59,50
God's Plan,Drake,Hip-Hop,2005,168,0.94,0.36,0.85,-3.47,54311093,0.71,20,97353,0.37,0.56,59
Heartless,Kanye West,Pop,1988,155,0.63,0.65,0.64,-38.01,779254184,0.07,2,189887,0.79,0.86,54
Hung Up,Madonna,Pop,2009,149,0.76,0.22,0.52,-2.34,770845814,0.28,10,178282,0.45,0.87,54
Break My Soul,Beyoncé,Rock,2015,167,0.28,0.41,0.22,-40.22,550681607,0.99,134,4043,0.23,0.52,56
Baby,Justin Bieber,Eletrônica,1987,112,0.56,0.73,0.59,-40.69,344071149,0.19,220,93135,0.53,0.79,53
Break My Soul,Beyoncé,Eletrônica,2003,106,0.47,0.35,0.97,-55.05,264416305,0.55,69,174358,0.42,0.46,50
Don't Stop Me Now,Queen,Rock,1992,171,0.63,0.31,0.64,-45.54,658854515,0.76,121,81190,0.69,0.78,60
Starboy,The Weeknd,Hip-Hop,1987,140,0.9,0.61,0.9,-26.2,460046822,0.93,290,95180,0.14,0.78,79
We Will Rock You,Queen,Pop,1993,70,0.6,0.79,0.23,-42.42,52124921,0.18,217,23963,0.63,0.24,38
Single Ladies,Beyoncé,Pop,1987,150,0.78,0.71,0.34,-27.91,27770052,0.44,158,3196,0.04,0.64,57
24K Magic,Bruno Mars,Rock,1994,139,0.49,0.43,0.95,-58.0,340817652,0.71,109,162135,0.63,0.16,50
Dakiti,Bad Bunny,R&B,2000,122,0.66,0.46,0.34,-40.3,270446344,0.22,1,13200,0.0,0.78,51
Peaches,Justin Bieber,Rock,1987,147,0.97,0.3,0.29,-59.61,615375591,0.49,22,169774,0.34,0.63,56
Like a Virgin,Madonna,Eletrônica,2023,177,0.51,0.78,0.17,-55.02,298161624,0.38,49,87895,0.69,0.71,50
Diamonds,Rihanna,Pop,2000,63,0.73,0.58,0.85,-6.57,786007925,0.55,228,194623,0.47,0.39,63
Thriller,Michael Jackson,Rock,1997,107,0.44,0.43,0.63,-28.35,204264427,0.12,248,177848,0.11,0.83,47
Single Ladies,Beyoncé,Hip-Hop,1999,175,0.56,0.32,0.21,-11.27,36681686,0.23,204,113881,0.73,0.56,33
Tiny Dancer,Elton John,Eletrônica,2018,106,0.81,0.74,0.8,-46.61,555610844,0.18,162,12496,0.19,0.79,65
Bohemian Rhapsody,Queen,Rock,1996,61,0.92,0.26,0.95,-51.69,440526513,0.38,35,181171,0.63,0.25,49
Yonaguni,Bad Bunny,Pop,2004,98,0.67,0.27,0.55,-49.75,51403226,0.9,260,35891,0.47,0.22,48
Blinding Lights,The Weeknd,Eletrônica,2000,179,0.66,0.37,0.95,-4.39,257079331,0.01,19,97377,0.64,0.39,39
Uptown Funk,Bruno Mars,Eletrônica,1998,166,0.51,0.36,0.64,-21.16,437810459,0.35,262,12993,0.48,0.37,44
Perfect,Ed Sheeran,Eletrônica,2013,122,0.88,0.52,0.32,-0.86,144432351,0.98,92,54153,0.09,0.9,70
Rocket Man,Elton John,Rock,2013,98,0.58,0.57,0.8,-17.81,99901177,0.92,144,190653,0.06,0.33,62
Lose Yourself,Eminem,Rock,1990,119,0.25,0.92,0.61,-27.84,436837740,0.75,140,79528,0.52,0.99,68
One Dance,Drake,Hip-Hop,1987,102,0.4,0.23,0.78,-47.22,28688119,0.43,196,152728,0.65,0.99,45
Fix You,Coldplay,Eletrônica,1980,167,0.87,0.44,0.89,-25.48,336449960,0.36,82,171975,0.24,0.95,64
Grenade,Bruno Mars,Hip-Hop,2009,177,0.6,0.28,1.0,-24.5,597657573,0.27,223,42853,0.34,0.12,45
One Dance,Drake,Rock,2009,76,0.58,0.6,0.14,-10.25,302322008,0.07,214,129136,0.58,0.88,44
Bohemian Rhapsody,Queen,Hip-Hop,2013,121,0.47,0.76,0.55,-52.84,359709793,0.45,92,16151,0.77,0.75,54
Don't Start Now,Dua Lipa,Pop,1995,169,0.82,0.85,0.3,-30.49,527888181,0.32,28,89623,0.09,0.29,58
Don't Stop Me Now,Queen,Rock,2015,129,0.57,0.61,0.9,-36.33,9573300,0.71,113,84476,0.69,0.23,50
Don't Start Now,Dua Lipa,R&B,1995,65,0.85,0.77,0.98,-0.46,645806997,0.54,154,116410,0.21,0.56,73
Umbrella,Rihanna,Hip-Hop,1998,71,0.74,0.79,0.55,-55.04,564421391,0.16,145,78107,0.79,0.73,55
Positions,Ariana Grande,Eletrônica,1994,180,0.98,0.81,0.57,-5.15,373726727,0.39,11,10666,0.75,0.14,53
Photograph,Ed Sheeran,Rock,1990,109,0.22,0.31,0.62,-3.47,643637139,0.04,43,112999,0.55,0.92,42
Dakiti,Bad Bunny,R&B,1989,136,0.88,0.58,0.32,-5.91,539990965,0.76,39,163924,0.78,0.28,56
Uptown Funk,Bruno Mars,R&B,2014,61,0.34,0.74,0.96,-46.5,328586126,0.09,131,146265,0.3,0.66,52
Vogue,Madonna,Eletrônica,1988,115,0.2,0.49,0.15,-6.29,224553049,0.71,227,159992,0.13,0.03,40
Heartless,Kanye West,R&B,1985,72,0.76,0.63,0.14,-39.98,269340596,0.05,50,166902,0.56,0.88,47
Yonaguni,Bad Bunny,Rock,2013,87,0.21,0.21,0.46,-24.24,272352201,0.85,278,187174,0.58,0.51,44
Diamonds,Rihanna,Rock,2011,87,0.32,0.6,0.5,-3.19,387906418,0.91,277,22685,0.09,0.17,56
Blank Space,Taylor Swift,Pop,2008,77,0.26,0.95,0.37,-13.86,273101675,0.16,34,138183,0.7,0.49,43
Tiny Dancer,Elton John,R&B,1980,142,0.85,0.98,0.26,-27.14,558023897,0.95,277,130234,0.23,0.23,72
God's Plan,Drake,Hip-Hop,1990,66,0.82,0.55,0.55,-2.05,135638138,0.44,137,159498,0.25,0.44,53
Rap God,Eminem,Hip-Hop,1987,121,0.98,0.5,0.8,-32.7,501641366,0.45,63,86925,0.38,0.39,60
Uptown Funk,Bruno Mars,Rock,1998,122,0.25,0.78,0.9,-49.57,349484883,0.76,134,94551,0.27,0.37,60
Without Me,Eminem,Eletrônica,2004,115,0.3,0.24,0.27,-47.56,69862066,0.28,59,138852,0.05,0.52,35
Umbrella,Rihanna,Rock,1985,130,0.78,0.31,0.34,-50.02,271694749,0.94,172,191472,0.48,0.23,52
Halo,Beyoncé,Eletrônica,2013,155,0.8,0.84,0.83,-40.75,719423922,0.5,259,151137,0.48,0.02,61
Shake It Off,Taylor Swift,Eletrônica,2014,146,0.86,0.62,0.32,-6.83,246325069,0.61,204,161259,0.64,0.18,50
We Will Rock You,Queen,R&B,2014,81,0.96,0.87,0.87,-22.18,377333542,0.59,89,106101,0.46,0.01,62
Memories,Maroon 5,Pop,2007,151,0.88,0.42,0.72,-5.1,767037684,0.89,230,133480,0.09,0.44,71
Bohemian Rhapsody,Queen,Rock,1982,133,0.97,0.84,0.51,-25.0,416112939,0.77,55,98953,0.63,0.63,70
Starboy,The Weeknd,Eletrônica,2012,154,0.27,0.39,0.58,-39.34,328593444,0.43,138,6305,0.36,0.67,46
Bohemian Rhapsody,Queen,Rock,2000,144,0.66,0.53,0.54,-50.91,390839740,0.79,197,193396,0.23,0.58,62
Heartless,Kanye West,Pop,2019,86,0.39,0.68,0.38,-6.03,514717641,0.37,66,13080,0.08,0.96,60
Save Your Tears,The Weeknd,R&B,1980,97,0.98,0.37,0.22,-38.09,69736347,0.22,214,116505,0.29,0.62,45
Lose Yourself,Eminem,Hip-Hop,1995,146,0.69,0.25,0.19,-57.31,404283861,0.98,87,142808,0.31,0.94,62
Uptown Funk,Bruno Mars,Hip-Hop,1983,81,0.8,0.7,0.88,-50.19,332651014,0.27,167,138133,0.37,0.11,52
Grenade,Bruno Mars,Pop,1988,86,0.88,0.78,0.12,-41.76,531755443,0.19,257,122241,0.4,0.64,56
Rap God,Eminem,Hip-Hop,1997,91,0.59,0.49,0.92,-25.54,206353979,0.01,280,58064,0.47,0.36,41
Baby,Justin Bieber,R&B,2015,152,0.78,0.74,0.87,-58.82,344186459,0.39,117,188267,0.05,0.08,58
Uptown Funk,Bruno Mars,Eletrônica,2024,98,0.25,0.72,0.24,-4.11,7491680,0.01,269,173788,0.75,0.47,30
Without Me,Eminem,Eletrônica,1994,98,0.5,0.49,0.98,-45.11,364405700,0.19,132,83316,0.21,0.86,56
Thank U Next,Ariana Grande,Pop,2013,74,0.81,0.74,0.48,-22.55,603911117,0.11,4,33363,0.62,0.72,56
Peaches,Justin Bieber,Pop,2004,97,0.84,0.78,0.59,-21.72,165577172,0.31,132,68544,0.21,0.43,56
Yellow,Coldplay,Rock,2003,86,0.28,0.76,0.36,-53.13,490753779,0.05,256,168105,0.35,0.03,37
Memories,Maroon 5,Rock,2017,164,0.62,0.44,0.19,-53.71,771258324,0.0,278,84775,0.39,0.64,45
Girls Like You,Maroon 5,Rock,2009,80,0.24,0.33,0.3,-14.31,62319605,0.36,86,27140,0.29,0.02,28
Don't Start Now,Dua Lipa,Pop,1993,67,0.53,0.84,0.32,-32.09,207210544,0.93,0,178225,0.48,0.34,59
Memories,Maroon 5,R&B,1991,106,0.28,0.27,0.94,-20.35,340491473,0.5,39,13014,0.08,0.62,51
Memories,Maroon 5,Pop,1996,153,0.54,0.72,0.75,-43.38,594082007,0.82,216,51038,0.19,0.53,69
Billie Jean,Michael Jackson,Rock,2022,141,0.47,0.92,0.73,-32.61,540209295,0.11,105,26117,0.6,0.53,53
Gold Digger,Kanye West,Hip-Hop,2023,133,0.49,0.41,0.92,-9.64,497144873,0.9,33,130953,0.71,0.69,62
Vogue,Madonna,Hip-Hop,2022,128,0.49,0.84,0.77,-52.34,527770748,0.31,177,42241,0.66,0.33,52
God's Plan,Drake,Rock,1982,78,0.48,0.37,0.25,-32.42,234608669,0.07,289,78962,0.01,0.99,46
Heartless,Kanye West,Hip-Hop,1984,159,0.39,0.72,0.51,-7.56,127346263,0.28,20,57877,0.37,0.46,45
Save Your Tears,The Weeknd,Pop,1980,132,0.99,0.94,0.94,-38.77,168459464,0.71,174,87044,0.61,0.35,68
Rap God,Eminem,Rock,1994,91,0.48,0.44,0.53,-11.95,537351394,0.26,1,184944,0.73,0.35,41
God's Plan,Drake,Hip-Hop,2000,66,0.98,0.71,0.93,-15.98,73642179,0.84,242,84510,0.69,0.81,71
Umbrella,Rihanna,Rock,2021,177,0.94,0.97,0.57,-9.78,79572312,0.24,12,32570,0.09,0.01,54
Baby,Justin Bieber,Pop,1997,129,0.55,0.8,0.17,-10.88,369353169,0.81,210,79648,0.12,0.39,61
Bohemian Rhapsody,Queen,Hip-Hop,2010,174,0.42,0.74,0.6,-56.72,467696738,0.94,198,193741,0.28,0.61,68
Without Me,Eminem,R&B,1990,115,0.93,0.22,0.71,-18.34,210134340,0.11,46,131101,0.14,0.55,47
Sorry,Justin Bieber,Pop,2001,115,0.82,0.8,0.74,-41.82,494287349,0.1,294,198539,0.4,0.78,61
Thriller,Michael Jackson,Hip-Hop,2006,173,0.79,0.91,0.78,-46.61,449709405,0.1,11,124960,0.11,0.35,59
Sugar,Maroon 5,Eletrônica,2014,138,0.28,0.93,1.0,-16.49,530141833,0.72,55,22132,0.54,0.78,70
Viva La Vida,Coldplay,Hip-Hop,1984,158,0.5,0.74,0.85,-2.36,332975116,0.12,147,68997,0.35,0.64,53
Thank U Next,Ariana Grande,R&B,1986,144,0.61,0.66,0.39,-26.06,347106854,0.97,30,102366,0.38,0.53,64
Gold Digger,Kanye West,Eletrônica,2013,66,0.53,0.46,0.52,-26.74,104858874,0.09,64,195464,0.29,0.05,33
Rocket Man,Elton John,Hip-Hop,2006,176,0.58,0.52,0.62,-37.46,962770,0.33,290,20170,0.05,0.38,47
Don't Stop Me Now,Queen,R&B,1996,164,0.32,0.89,0.41,-2.92,71275109,0.94,149,74918,0.77,0.67,58
7 rings,Ariana Grande,Rock,1984,153,0.49,0.37,0.88,-49.01,730782248,0.76,73,92086,0.53,0.3,57
Sugar,Maroon 5,Pop,2010,151,0.33,0.62,0.82,-27.19,694589240,0.28,186,141883,0.05,0.0,49
Rocket Man,Elton John,Eletrônica,1983,69,0.2,0.27,0.86,-20.43,91290451,0.76,154,81612,0.03,0.85,55
Break My Soul,Beyoncé,Rock,2003,139,0.57,0.43,0.16,-2.14,671120776,0.14,13,186946,0.56,0.36,39
7 rings,Ariana Grande,Rock,1991,124,0.42,0.33,0.76,-53.51,530363951,0.34,165,104503,0.43,0.59,48
Memories,Maroon 5,R&B,1999,94,0.49,0.45,0.13,-5.67,100298793,0.08,52,134389,0.12,0.96,43
Shape of You,Ed Sheeran,Eletrônica,2000,145,0.29,0.44,0.35,-40.09,214166614,0.06,157,137939,0.49,0.27,29
Tití Me Preguntó,Bad Bunny,Eletrônica,1993,161,0.41,0.42,0.4,-58.22,675232631,0.59,236,98197,0.12,0.29,51
Dakiti,Bad Bunny,Pop,1989,154,0.76,0.97,0.69,-25.79,221222236,0.73,29,87381,0.3,0.36,67
New Rules,Dua Lipa,Hip-Hop,1997,128,0.71,0.76,0.35,-30.24,211066974,0.57,0,46898,0.12,0.17,54
We Will Rock You,Queen,Pop,2017,78,0.32,0.75,0.53,-11.18,478626485,0.78,285,149517,0.66,0.56,58
New Rules,Dua Lipa,Hip-Hop,1997,119,0.21,0.71,0.6,-17.32,127537943,0.79,74,100447,0.69,0.85,56
Uptown Funk,Bruno Mars,Hip-Hop,2015,172,0.45,0.35,0.75,-42.07,773498540,0.66,200,146699,0.09,0.21,56
Tití Me Preguntó,Bad Bunny,Eletrônica,2012,154,0.91,0.63,0.32,-29.15,66810723,0.18,8,174355,0.67,0.68,47
Levitating,Dua Lipa,Eletrônica,2022,119,0.43,0.42,0.52,-11.99,531040570,0.52,80,46858,0.09,0.17,48
Don't Stop Me Now,Queen,Eletrônica,2021,147,0.4,0.23,0.37,-58.55,570106432,0.62,229,185061,0.03,0.85,56
Don't Stop Me Now,Queen,Rock,1996,112,0.59,0.24,0.3,-17.07,734962078,0.24,192,126966,0.76,0.67,43
Without Me,Eminem,Pop,2021,157,0.83,0.67,0.32,-53.11,512307184,0.58,54,164012,0.01,0.1,58
Grenade,Bruno Mars,Rock,2003,92,0.38,0.4,0.79,-57.02,11182692,0.68,184,195307,0.54,0.16,42
Lose Yourself,Eminem,Rock,2015,91,0.67,0.66,0.56,-11.02,601464064,0.05,293,5103,0.15,0.95,60
Without Me,Eminem,Rock,2024,123,0.64,0.25,0.35,-59.25,188443643,0.66,7,175167,0.36,0.9,53
Save Your Tears,The Weeknd,Eletrônica,2000,73,0.77,0.31,0.64,-23.9,402221373,0.96,182,140442,0.06,0.09,59
Fix You,Coldplay,R&B,1992,65,0.82,0.63,0.48,-32.58,591296755,0.32,88,67260,0.68,0.7,57
Like a Virgin,Madonna,Eletrônica,1995,69,0.84,0.48,0.79,-2.33,143192228,0.95,290,134479,0.55,0.5,62
Diamonds,Rihanna,Hip-Hop,2011,178,0.2,0.32,0.32,-43.07,794051702,0.03,90,3731,0.01,0.18,35
Tití Me Preguntó,Bad Bunny,Hip-Hop,2012,82,0.75,0.94,0.67,-18.72,177282439,0.14,21,116343,0.53,0.95,60
Like a Virgin,Madonna,Eletrônica,1990,85,0.95,0.88,0.64,-35.91,596244803,0.2,44,199741,0.24,0.84,69
We Will Rock You,Queen,R&B,2014,65,0.86,0.34,0.81,-52.45,377539058,0.44,70,169986,0.37,0.14,49
Heartless,Kanye West,Hip-Hop,2007,173,0.97,0.55,0.27,-3.87,257769510,0.98,270,92471,0.02,0.19,63
Don't Stop Me Now,Queen,Pop,2009,91,0.82,0.71,0.62,-28.11,423642270,0.38,129,66893,0.51,0.77,62
Umbrella,Rihanna,R&B,1990,65,0.34,0.35,0.83,-42.44,236739335,0.24,131,199638,0.05,0.88,50
Sorry,Justin Bieber,Pop,1982,173,0.92,0.22,0.18,-16.12,434276416,0.68,7,19228,0.51,0.3,48
Shape of You,Ed Sheeran,Rock,2024,165,0.95,0.83,0.14,-25.26,77472087,0.93,118,45510,0.69,0.08,56
Beat It,Michael Jackson,Eletrônica,1990,106,0.28,0.44,0.19,-49.72,242230844,0.33,31,114460,0.14,0.29,37
Diamonds,Rihanna,Rock,2001,97,0.9,0.43,0.96,-4.14,753800447,0.46,233,37769,0.14,0.9,72
Sorry,Justin Bieber,Eletrônica,2020,112,0.53,0.74,0.19,-50.57,751108388,0.3,213,99608,0.02,0.16,52
Save Your Tears,The Weeknd,Pop,1993,120,0.88,0.59,0.92,-59.96,778965967,0.44,289,102549,0.08,0.43,68
Baby,Justin Bieber,Pop,1989,72,0.45,0.95,0.51,-49.94,234407693,0.89,179,8853,0.32,0.48,65
Stronger,Kanye West,R&B,2020,168,0.53,0.99,0.97,-18.48,473865611,0.68,291,99713,0.1,0.68,76
Anti-Hero,Taylor Swift,R&B,1988,115,0.29,0.86,0.5,-16.54,793307927,0.07,39,157369,0.35,0.74,55
Break My Soul,Beyoncé,R&B,2008,163,0.91,0.26,0.77,-19.88,201172174,0.35,294,178589,0.06,0.48,52
Bohemian Rhapsody,Queen,Hip-Hop,2006,141,0.57,0.82,0.38,-13.47,748135698,0.8,279,131108,0.44,0.63,69
Heartless,Kanye West,Rock,2006,133,0.25,0.85,0.73,-38.58,236703767,0.12,251,185567,0.64,0.93,50
Blank Space,Taylor Swift,Pop,2017,94,0.45,0.63,0.92,-56.87,652181973,0.45,276,86911,0.28,0.47,59
God's Plan,Drake,Eletrônica,1996,124,0.25,0.38,0.4,-4.05,366461780,0.18,254,133732,0.72,0.3,30
Heartless,Kanye West,Eletrônica,1984,123,0.43,0.35,0.74,-3.08,211864399,0.1,263,103971,0.26,0.13,34
Rocket Man,Elton John,Rock,2015,120,0.67,0.34,0.77,-14.19,14081725,0.26,258,13266,0.23,0.69,47
Shake It Off,Taylor Swift,Hip-Hop,1991,156,0.28,0.56,0.44,-14.49,727307637,0.94,154,100061,0.61,0.2,54
We Will Rock You,Queen,R&B,1991,164,0.39,0.3,0.57,-51.53,277239373,0.6,41,136172,0.23,0.41,46
Thank U Next,Ariana Grande,Rock,2006,112,0.6,0.76,0.4,-41.98,412842995,0.63,298,192693,0.42,0.7,62
God's Plan,Drake,Pop,2018,159,0.86,0.38,0.47,-28.59,441150981,0.76,116,179007,0.04,0.6,64
Mamma Mia,ABBA,Hip-Hop,1991,160,0.74,0.94,0.9,-14.16,198234846,0.42,229,30777,0.79,0.66,61
One Dance,Drake,Eletrônica,1990,103,0.86,0.53,0.63,-5.48,371628704,0.5,213,78159,0.55,0.64,58
24K Magic,Bruno Mars,Hip-Hop,1994,114,0.88,0.74,0.36,-28.39,431341871,0.51,288,29038,0.14,0.05,56
Rocket Man,Elton John,Eletrônica,1991,77,0.31,0.33,0.7,-59.77,508522215,0.51,196,28567,0.15,0.47,50
Beat It,Michael Jackson,Rock,2014,178,0.58,0.44,0.76,-58.14,668356906,0.79,75,122282,0.77,0.34,56
Levitating,Dua Lipa,Hip-Hop,2017,174,0.29,0.33,0.27,-45.63,679267848,0.15,0,97330,0.7,0.75,39
Sugar,Maroon 5,R&B,1981,179,0.5,0.63,0.43,-9.54,603947999,0.46,292,143130,0.63,0.81,56
7 rings,Ariana Grande,R&B,1988,127,0.96,0.54,0.21,-23.93,154294830,0.09,129,134997,0.6,0.74,46
Dakiti,Bad Bunny,R&B,2021,163,0.21,0.51,0.86,-27.49,139597146,0.66,118,162763,0.78,0.51,46
Rap God,Eminem,Pop,1991,162,0.6,0.45,0.95,-26.59,755784966,0.83,37,128558,0.39,0.99,74
Work,Rihanna,Hip-Hop,1989,146,0.76,0.9,0.87,-11.68,280682743,0.48,215,195884,0.7,0.82,66
God's Plan,Drake,Eletrônica,2023,61,0.31,0.44,0.19,-17.57,545206710,0.01,287,17920,0.59,0.19,29
Blank Space,Taylor Swift,Hip-Hop,1986,179,0.36,0.87,0.17,-38.52,399936725,0.23,177,125081,0.78,0.67,46
God's Plan,Drake,R&B,1990,84,0.27,0.94,0.21,-49.46,762483658,0.15,18,181809,0.6,0.54,49
Diamonds,Rihanna,Hip-Hop,2021,150,0.8,0.44,0.4,-31.29,415075687,0.29,83,37427,0.35,0.25,46
Shape of You,Ed Sheeran,Pop,1995,154,0.39,0.61,0.56,-53.86,697924048,0.05,270,132111,0.6,0.3,41
Hotline Bling,Drake,R&B,1995,90,0.44,0.48,0.49,-42.23,105420815,0.23,16,15733,0.65,0.66,40
Vogue,Madonna,Eletrônica,2019,136,0.69,0.25,0.68,-37.61,41804513,0.41,152,133115,0.12,0.13,41
Single Ladies,Beyoncé,Pop,1980,142,0.46,0.55,0.64,-42.41,246753790,0.21,72,15642,0.1,0.45,47
Gimme Gimme Gimme,ABBA,Pop,2008,148,0.88,0.33,0.2,-30.72,469655411,0.42,115,81204,0.25,0.96,57
7 rings,Ariana Grande,Rock,2021,180,0.25,0.45,0.14,-7.17,13481707,0.61,80,188573,0.57,0.83,43
Thriller,Michael Jackson,R&B,2024,146,0.95,0.46,0.22,-5.36,503849500,0.87,250,165383,0.77,0.06,52
We Will Rock You,Queen,Hip-Hop,2003,140,0.63,0.93,0.86,-58.05,214628301,0.54,246,199365,0.47,0.44,62
Blinding Lights,The Weeknd,R&B,2006,66,0.74,0.31,0.27,-47.8,425501372,0.3,187,125673,0.24,0.46,45
Positions,Ariana Grande,Hip-Hop,1985,111,0.36,0.4,0.9,-47.71,261144144,0.48,83,8167,0.5,0.46,47
Hotline Bling,Drake,Eletrônica,2003,101,0.84,0.89,0.23,-14.68,180695641,0.72,83,160850,0.28,0.93,70
Hotline Bling,Drake,R&B,2002,176,0.31,0.62,0.33,-11.9,244337102,0.47,297,93138,0.19,0.06,41
24K Magic,Bruno Mars,Eletrônica,2018,170,0.98,0.56,0.31,-23.69,242257220,0.37,27,124342,0.42,0.75,56
Umbrella,Rihanna,Pop,2001,99,0.27,0.44,0.94,-1.05,381593171,0.39,270,134303,0.11,0.88,56
Grenade,Bruno Mars,R&B,2001,131,0.94,0.28,0.18,-22.58,631063765,0.43,190,39191,0.17,0.72,57
Gimme Gimme Gimme,ABBA,Hip-Hop,2020,119,0.58,0.64,0.33,-36.31,79786219,0.56,133,20559,0.07,0.47,53
Grenade,Bruno Mars,Rock,1988,155,0.63,0.86,0.94,-49.7,210904851,0.65,127,172376,0.05,0.2,64
Rocket Man,Elton John,Hip-Hop,1991,98,0.91,0.76,0.4,-9.86,127305041,0.04,157,143972,0.53,0.11,41
Break My Soul,Beyoncé,R&B,1994,138,0.4,0.38,0.45,-9.27,195412598,0.91,204,92825,0.28,0.28,50
Dancing Queen,ABBA,Pop,2009,143,0.28,0.51,0.92,-37.09,711669636,0.25,93,152079,0.35,0.57,52
Rocket Man,Elton John,Rock,2002,102,0.9,0.48,0.25,-46.98,232811472,0.96,150,182660,0.61,0.27,55
Yellow,Coldplay,Hip-Hop,1986,62,0.94,0.39,0.22,-26.22,188408976,0.08,272,8859,0.13,0.08,37
7 rings,Ariana Grande,R&B,1997,102,0.61,0.24,0.68,-46.94,149731057,0.95,295,24279,0.38,0.24,51
Mamma Mia,ABBA,R&B,2019,135,0.87,0.72,0.15,-36.82,326168865,0.58,126,29197,0.03,0.03,54
Photograph,Ed Sheeran,Rock,1982,141,0.27,0.57,0.41,-59.72,656450674,0.4,18,541,0.01,0.76,57
Stronger,Kanye West,Pop,1982,72,0.59,0.4,0.97,-1.38,98239931,0.55,34,110212,0.13,0.15,49
Peaches,Justin Bieber,Hip-Hop,2011,70,0.36,0.36,0.21,-39.04,219636000,0.92,62,176521,0.38,0.74,53
Save Your Tears,The Weeknd,Eletrônica,2002,165,0.48,0.93,0.25,-6.99,236459912,0.79,64,117602,0.74,0.87,62
One Dance,Drake,Hip-Hop,1981,68,0.21,0.92,0.96,-22.62,169226237,0.02,276,173907,0.24,0.59,50
Viva La Vida,Coldplay,Hip-Hop,1981,99,0.93,0.21,0.46,-4.72,73183383,0.01,151,95095,0.73,0.23,30
Baby,Justin Bieber,Rock,2019,173,0.36,0.62,0.76,-20.32,552830352,0.93,134,29400,0.09,0.83,72
Break My Soul,Beyoncé,Hip-Hop,1993,171,0.23,0.94,0.51,-13.19,15287831,0.37,190,169300,0.67,0.2,41
Sugar,Maroon 5,Pop,2024,81,0.34,0.91,0.75,-57.82,376470427,0.2,181,174288,0.7,0.17,45
Memories,Maroon 5,Eletrônica,2018,161,0.66,0.53,0.3,-9.29,609234006,0.27,217,163577,0.51,1.0,56
Dancing Queen,ABBA,Eletrônica,1997,93,0.65,0.82,0.99,-31.63,284103596,0.45,242,158210,0.34,0.35,60
Levitating,Dua Lipa,Eletrônica,1984,93,0.85,0.5,0.28,-25.65,613176477,0.69,60,35744,0.63,0.04,51
Thriller,Michael Jackson,Hip-Hop,2009,130,0.69,0.82,0.51,-9.86,715894482,0.39,286,87192,0.73,0.62,60
Uptown Funk,Bruno Mars,Hip-Hop,2012,119,0.32,0.58,0.38,-11.71,393122032,0.23,255,56218,0.54,0.58,43
24K Magic,Bruno Mars,Hip-Hop,2008,130,0.67,0.85,0.89,-32.81,771495550,0.77,118,157489,0.63,0.71,75
Sugar,Maroon 5,Rock,2002,125,0.75,0.73,0.47,-15.97,182251402,0.28,172,48807,0.3,0.56,53
Stronger,Kanye West,R&B,1991,169,0.68,0.98,0.61,-7.41,740217900,0.52,132,127149,0.49,0.19,63
Levitating,Dua Lipa,Pop,1986,117,0.22,0.25,0.59,-52.42,140674325,0.4,116,168887,0.52,0.88,41
Don't Start Now,Dua Lipa,Rock,2011,159,0.69,0.58,0.44,-57.78,105095419,0.38,240,103172,0.46,0.56,49
Fix You,Coldplay,Eletrônica,2014,130,0.64,0.95,0.68,-44.99,421180200,0.72,84,67369,0.22,0.78,74
Dakiti,Bad Bunny,Pop,1980,176,0.54,0.5,0.48,-49.45,65518517,0.52,107,84742,0.46,0.32,44
God's Plan,Drake,Pop,1980,71,0.84,0.58,0.79,-50.07,622917279,0.38,105,3805,0.39,0.34,58
Halo,Beyoncé,Rock,2011,138,0.82,0.27,0.28,-57.09,189726546,0.6,195,86256,0.17,0.76,54
God's Plan,Drake,Pop,2018,137,0.79,0.52,0.3,-27.19,135383320,0.37,214,36136,0.54,0.35,44
Sugar,Maroon 5,Hip-Hop,1999,84,0.85,0.65,0.65,-52.29,560365304,0.23,120,66443,0.51,0.96,63
Hung Up,Madonna,Eletrônica,1988,64,0.55,0.99,0.74,-40.69,412565647,0.82,34,187541,0.53,0.87,74
Beat It,Michael Jackson,Hip-Hop,2006,72,0.73,0.99,0.99,-53.95,573304721,0.34,14,158549,0.05,0.36,69
Shape of You,Ed Sheeran,Hip-Hop,2000,61,0.44,0.31,0.48,-40.19,563433269,0.58,123,181935,0.51,0.52,48
Levitating,Dua Lipa,Pop,2008,164,0.92,0.76,0.16,-48.86,341240432,0.76,40,36705,0.06,0.68,69
Dakiti,Bad Bunny,Pop,1988,61,0.35,0.84,0.93,-21.17,143426770,0.78,288,98566,0.56,0.39,58
Without Me,Eminem,Pop,1989,147,0.75,0.84,0.74,-3.01,671865503,0.99,279,99886,0.67,0.17,69
Rap God,Eminem,Pop,2001,66,0.76,0.28,0.72,-6.42,307415719,0.97,90,195580,0.45,0.95,67
Hotline Bling,Drake,Hip-Hop,2015,69,0.23,0.81,0.35,-59.08,146795578,0.31,206,191403,0.66,0.86,47
Diamonds,Rihanna,Pop,1994,104,0.36,0.94,0.71,-24.04,156278960,0.15,142,73027,0.07,1.0,60
24K Magic,Bruno Mars,R&B,2000,63,0.27,0.73,0.2,-5.76,12593539,0.76,114,116922,0.69,0.02,39
